Generation,Timestamp,AX,AY,AZ,lAX,lAY,lAZ,,Generation,Timestamp,Speed
1153,6:12:49,0.083799616,1.5179702,10.015251,-0.27025175,-7.6767488,6.5889597,,,,
1154,6:12:49,-0.20111908,1.7789462,9.727939,-0.50087196,-7.543846,6.0290365,,43,6:13:33,10.18799973
1155,6:12:50,-0.06943397,1.8507744,10.314536,-0.28713736,-7.3842225,6.6032243,,,,
1156,6:12:50,-0.05027977,1.4317763,9.821315,-0.50893724,-7.6059227,6.770055,,44,6:13:34,9.287999725
1157,6:12:50,-0.24182175,1.6257126,8.995291,-0.5234159,-7.4948654,5.395274,,,,
1158,6:12:50,-0.26337022,1.5371244,11.12859,-0.5457605,-7.620935,7.404181,,45,6:13:35,10.58400021
1159,6:12:50,-0.1987248,1.6879637,9.648928,-0.6148993,-7.4400187,6.4055634,,,,
1160,6:12:50,-0.29689008,1.4581133,9.826104,-0.65314543,-7.6364565,6.3816576,,46,6:13:36,10.07999983
1161,6:12:50,-0.21548474,2.004008,9.273026,-0.580731,-7.197357,5.7129865,,,,
1162,6:12:50,-0.30646718,0.76137936,11.229149,-0.73900574,-8.304504,7.605007,,47,6:13:37,7.704000378
1163,6:12:50,-0.5602603,2.6432793,8.394327,-0.97115725,-6.5257263,4.793415,,,,
1164,6:12:50,0.06464542,0.8140534,11.724764,-0.48781127,-8.259386,8.032615,,48,6:13:38,7.2
1165,6:12:51,0.44294083,1.5706443,8.166871,-0.21213424,-7.519246,5.031302,,,,
1166,6:12:51,-0.071828246,1.2091088,10.08708,-0.46524662,-8.11156,6.759141,,49,6:13:39,6.588000154
1167,6:12:51,-0.61293435,2.5211713,8.9976845,-0.90233123,-6.938895,5.673364,,,,
1168,6:12:51,-0.105348095,1.4916332,9.809344,-0.5545417,-7.5141144,6.007477,,50,6:13:40,5.688000154
1169,6:12:51,-0.27055305,1.6951466,10.860431,-0.5692919,-7.5153475,6.8991637,,,,
1170,6:12:51,0.52913475,1.2689656,9.356826,-0.08179569,-7.6052523,5.2561426,,51,6:13:41,6.228000069
1171,6:12:51,-0.14844504,1.6352897,9.170073,-0.69234484,-7.6323266,5.8235145,,,,
1172,6:12:51,0.043096945,0.8643332,10.79818,-0.5988416,-7.7943254,6.2548795,,52,6:13:42,6.911999846
1173,6:12:51,-0.2681588,1.7669748,9.452597,-0.79158133,-7.3760405,5.712686,,,,
1174,6:12:51,0.33759275,1.201926,10.082292,-0.28110176,-7.738622,5.951022,,53,6:13:43,4.607999897
1175,6:12:52,-0.09577099,1.9154198,10.032011,-0.62680185,-7.2212515,6.129527,,,,
1176,6:12:52,-0.019154198,1.1803775,10.474953,-0.72620237,-7.497079,6.3297324,,54,6:13:44,4.247999811
1177,6:12:52,0.28252444,1.2474172,10.084685,-0.38471088,-7.7988195,6.101773,,,,
1178,6:12:52,-0.08858817,1.4772675,9.395134,-0.76773596,-7.6817765,5.792595,,55,6:13:45,4.356000137
1179,6:12:52,0.36632404,1.089395,9.732727,-0.28200752,-7.8747015,5.5695486,,,,
1180,6:12:52,-0.05506832,1.1300977,11.025636,-0.6246456,-7.755567,7.144821,,56,6:13:46,6.371999931
1181,6:12:52,0.3232271,1.0199611,9.071907,-0.42538643,-7.7480407,4.698636,,,,
1182,6:12:52,-0.057462595,1.0870007,10.510866,-0.66803896,-8.040027,6.838607,,57,6:13:47,5.688000154
1183,6:12:52,0.409421,1.1708003,9.440625,-0.4412952,-7.662767,5.5639744,,,,
1184,6:12:53,0.36632404,0.888276,10.343267,-0.3916121,-8.002745,6.0041103,,58,6:13:48,7.920000172
1185,6:12:53,-0.25858167,1.3407938,10.371999,-1.0553666,-7.5419593,6.1352844,,,,
1186,6:12:53,0.38308397,0.6608198,10.005674,-0.44997066,-8.260695,5.9862123,,59,6:13:49,3.239999914
1187,6:12:53,-0.27055305,1.4940275,9.000079,-1.0199533,-7.721328,5.4518213,,,,
1188,6:12:53,0.105348095,1.3719195,10.460587,-0.73192513,-7.6291227,6.544863,,60,6:13:50,0
1189,6:12:53,-0.1340794,0.9385557,10.211582,-0.99010813,-8.024261,6.4561043,,,,
1190,6:12:53,0.44294083,0.84039044,10.292988,-0.41991276,-7.9463816,6.0520873,,61,6:13:51,3.92400012
1191,6:12:53,0.08619389,1.5059988,9.60583,-0.78086215,-7.577597,5.9737825,,,,
1192,6:12:53,0.5913859,0.49800915,10.984933,-0.42450342,-8.224681,6.8159614,,62,6:13:52,4.860000086
1193,6:12:53,-0.6105401,1.9992194,9.498088,-1.2502731,-7.2867365,6.6639466,,,,
1194,6:12:54,0.13647367,1.8292259,9.471751,-0.55241376,-6.8678145,5.4483137,,63,6:13:53,0
1195,6:12:54,0.04070267,1.3216397,10.302565,-0.7669425,-7.82525,6.760268,,,,
1196,6:12:54,0.16759923,1.489239,8.854029,-0.68965614,-7.4428024,4.931182,,64,6:13:54,0
1197,6:12:54,-0.102953814,1.3216397,11.159715,-0.70814776,-7.8890395,7.239661,,,,
1198,6:12:54,-0.11013664,1.4437478,9.725544,-1.039552,-7.4252152,5.6656046,,65,6:13:55,7.056000137
1199,6:12:54,0.30886146,1.0079896,10.082292,-0.5787387,-7.894456,5.991967,,,,
1200,6:12:54,-0.11253092,1.2737542,9.785401,-0.9183342,-7.838968,5.8125963,,66,6:13:56,7.812000275
1201,6:12:54,0.090982445,1.1253091,10.26665,-0.88970983,-7.666697,6.024246,,,,
1202,6:12:54,0.019154198,1.515576,9.471751,-0.79861623,-7.45078,5.652215,,67,6:13:57,8.459999657
1203,6:12:54,-0.4285752,1.5538844,11.126195,-1.1350622,-7.438938,7.035863,,,,
1204,6:12:55,0.26337022,1.9010541,9.074302,-0.7525994,-7.163105,5.7560377,,68,6:13:58,10.47600031
1205,6:12:55,0.40223816,2.6839821,10.302565,-0.320893,-6.52012,6.5940666,,,,
1206,6:12:55,0.19393626,2.7773588,8.080677,-0.9360179,-6.227208,4.851163,,69,6:13:59,0
1207,6:12:55,0.08619389,2.2099156,9.984126,-0.64362484,-6.731824,6.1235495,,,,
1208,6:12:55,-0.2681588,1.8531687,10.3743925,-0.87382096,-7.3398614,6.790773,,70,6:14:00,0
1209,6:12:55,0,2.0423164,9.385557,-0.6056949,-6.905126,5.5191407,,,,
1210,6:12:55,-0.083799616,2.2697725,9.842864,-0.6608149,-6.8353677,6.0199547,,71,6:14:01,0
1211,6:12:55,0.019154198,2.3535721,8.791777,-0.6208881,-6.715697,5.0874906,,,,
1212,6:12:55,0.23463893,1.201926,10.515655,-0.5233469,-7.5967965,6.265321,,72,6:14:02,0
1213,6:12:55,-0.33519846,1.8076775,10.204399,-1.0227132,-7.341896,6.644372,,,,
1214,6:12:56,0.007182824,1.5610672,9.670476,-0.64683974,-7.3924484,5.655065,,73,6:14:03,0
