AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,AccToGX,AccToGY,AccToGZ,GyroToDegPerSecondX,GyroToDegPerSecondY,GyroToDegPerSecondZ,TimeStamp
-8006,342,-3675,143,1212,55,-0.977294921875,0.041748046875,-0.4486083984375,4.359756097560976,36.951219512195124,1.676829268292683,1565282311281
-7941,324,-3527,345,1195,-95,-0.9693603515625,0.03955078125,-0.4305419921875,10.51829268292683,36.4329268292683,-2.8963414634146343,1565282311286
-7662,314,-3562,-34,1192,-58,-0.935302734375,0.038330078125,-0.434814453125,-1.0365853658536586,36.34146341463415,-1.7682926829268295,1565282311374
-7743,-30,-3944,-186,1165,134,-0.9451904296875,-0.003662109375,-0.4814453125,-5.670731707317073,35.518292682926834,4.085365853658537,1565282311379
-7377,-36,-3962,-571,1395,155,-0.9005126953125,-0.00439453125,-0.483642578125,-17.408536585365855,42.53048780487805,4.725609756097561,1565282311388
-7323,-43,-3723,-396,1393,146,-0.8939208984375,-0.0052490234375,-0.4544677734375,-12.073170731707318,42.46951219512196,4.451219512195122,1565282311396
-7527,-57,-3735,-484,1396,129,-0.9188232421875,-0.0069580078125,-0.4559326171875,-14.756097560975611,42.5609756097561,3.932926829268293,1565282311403
-7425,-86,-3764,-671,1156,342,-0.9063720703125,-0.010498046875,-0.45947265625,-20.457317073170735,35.243902439024396,10.426829268292684,1565282311478
-7155,-328,-4193,-1625,1275,37,-0.8734130859375,-0.0400390625,-0.5118408203125,-49.54268292682927,38.8719512195122,1.128048780487805,1565282311483
-7167,-341,-3972,-1496,1215,13,-0.8748779296875,-0.0416259765625,-0.48486328125,-45.60975609756098,37.04268292682927,0.39634146341463417,1565282311488
-7168,-346,-4021,-1806,1169,-265,-0.875,-0.042236328125,-0.4908447265625,-55.0609756097561,35.640243902439025,-8.079268292682928,1565282311495
-7426,-343,-4073,-1862,1382,-281,-0.906494140625,-0.0418701171875,-0.4971923828125,-56.768292682926834,42.13414634146342,-8.567073170731708,1565282311500
-7454,-346,-4421,-1668,1345,-306,-0.909912109375,-0.042236328125,-0.5396728515625,-50.85365853658537,41.00609756097561,-9.329268292682928,1565282311584
-7318,-152,-4332,-2363,652,10,-0.893310546875,-0.0185546875,-0.52880859375,-72.04268292682927,19.878048780487806,0.30487804878048785,1565282311591
-7305,-153,-4344,-2388,822,3,-0.8917236328125,-0.0186767578125,-0.5302734375,-72.8048780487805,25.0609756097561,0.09146341463414635,1565282311598
-7551,-157,-4629,-2409,403,-296,-0.9217529296875,-0.0191650390625,-0.5650634765625,-73.44512195121952,12.286585365853659,-9.02439024390244,1565282311609
-7302,-159,-4635,-2185,576,-330,-0.891357421875,-0.0194091796875,-0.5657958984375,-66.6158536585366,17.5609756097561,-10.060975609756099,1565282311626
-7311,-158,-4642,-2194,235,-367,-0.8924560546875,-0.019287109375,-0.566650390625,-66.89024390243902,7.164634146341464,-11.189024390243903,1565282311688
